"","Timepoint","ColonyID","Species","Phenotype","Tissue_Biomass_mg_cm2"
"278","January_2025","248","Porites compressa","Resistant",2.84993686960249
"279","October_2025","1","Montipora capitata","Susceptible",4.81239339823228
"280","October_2025","2","Montipora capitata","Resistant",1.68959916045111
"281","October_2025","3","Montipora capitata","Susceptible",0.683416813950251
"282","October_2025","4","Montipora capitata","Resistant",3.0611353298608
"283","October_2025","12","Montipora capitata","Resistant",5.87668303394916
"284","October_2025","19","Montipora capitata","Susceptible",4.70291263843059
"285","October_2025","20","Montipora capitata","Resistant",2.95827903692894
"286","October_2025","26","Porites compressa","Resistant",4.72386796194374
"287","October_2025","27","Porites compressa","Susceptible",3.90044682317744
"288","October_2025","28","Porites compressa","Resistant",5.34115428621583
"289","October_2025","29","Porites compressa","Susceptible",5.68284224396835
"290","October_2025","41","Porites compressa","Susceptible",3.04432562718222
"291","October_2025","42","Porites compressa","Resistant",4.69338620953108
"292","October_2025","43","Porites compressa","Susceptible",5.84519015493051
"293","October_2025","44","Porites compressa","Resistant",4.19990696572976
"294","October_2025","201","Montipora capitata","Susceptible",4.32952641689893
"295","October_2025","202","Montipora capitata","Resistant",5.26037088995729
"296","October_2025","203","Montipora capitata","Susceptible",5.93094970160524
"297","October_2025","204","Montipora capitata","Resistant",5.11659650423421
"298","October_2025","205","Montipora capitata","Susceptible",3.08534466023755
"299","October_2025","206","Montipora capitata","Resistant",7.63453407990911
"300","October_2025","209","Montipora capitata","Susceptible",4.30361299438982
"301","October_2025","210","Montipora capitata","Resistant",4.54546893126459
"302","October_2025","211","Montipora capitata","Susceptible",3.15683512683042
"303","October_2025","213","Montipora capitata","Susceptible",2.35709064403211
"304","October_2025","214","Montipora capitata","Resistant",8.08269388432358
"305","October_2025","221","Montipora capitata","Susceptible",3.20911529985809
"306","October_2025","225","Porites compressa","Susceptible",2.95827903692894
"307","October_2025","226","Porites compressa","Resistant",6.40778097019827
"308","October_2025","233","Porites compressa","Susceptible",7.66397458531031
"309","October_2025","234","Porites compressa","Resistant",4.75310981907432
"310","October_2025","235","Porites compressa","Susceptible",4.88878059502969
"311","October_2025","236","Porites compressa","Resistant",4.24510001614098
"312","October_2025","237","Porites compressa","Susceptible",7.96534079707402
"313","October_2025","238","Porites compressa","Resistant",5.56582090973775
"314","October_2025","239","Porites compressa","Susceptible",8.62390207518739
"315","October_2025","240","Porites compressa","Resistant",4.36205933711313
"316","October_2025","241","Porites compressa","Susceptible",4.57041348621183
"317","October_2025","242","Porites compressa","Resistant",3.52465690586876
"318","October_2025","243","Porites compressa","Susceptible",6.98263386911559
"319","October_2025","244","Porites compressa","Resistant",3.54203452465628
"320","October_2025","247","Porites compressa","Susceptible",3.01081139301388
"321","October_2025","248","Porites compressa","Resistant",3.5929304867407
"322","May_2025","28","Porites compressa","Resistant",1.89044972305396
"323","May_2025","209","Montipora capitata","Susceptible",2.71221547755403
"324","May_2025","213","Montipora capitata","Susceptible",6.65620737119509
"325","May_2025","235","Porites compressa","Susceptible",8.20334222237992
